-11.6943,-10.497,-11.6528,-11.6703,-11.6726
0,0.265958,16.0313,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.346186,-0.38,-0.340428,-0.38,1.30925
-0.770438,-0.599235,-0.786476,-0.770438,-0.75116
-0.880922,-0.770438,-0.741277,-0.79036,-0.770438
-2.09323,-2.06659,-2.17958,-2.07538,-2.06932
-0.258558,-0.285548,17.1446,-0.1532,-0.255107
-0.1,-0.2,0.220362,-0.1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,-0.1,0
0,0,0,0,0
-0.2,-0.2,-0.1,0,0
-0.1,-0.1,-0.0667632,-0.1,-0.0171606
-0.1,0,0,0,0
0,0,0,0,0
-0.1,0,0,0,0
-0.389,-0.29,-0.420943,-0.1,-0.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.2,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.38,-0.299,-0.2,-0.2,-0.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-6.34891,-6.2791,-6.33637,-6.34891,-6.34891
-0.59402,-0.483157,-0.5582,-0.398,-0.398
-0.2,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-9.65858,-9.76558,-9.74168,-9.66491,-9.65818
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.38,-0.527355,-0.2,-0.2,-0.2
-0.398,-0.352503,-0.38,-0.842377,-0.2
-4.76871,-4.23576,-4.37692,-4.65071,-4.87889
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.2,0,0,0,0
-0.2,-0.2,-0.2,-0.2,-0.327209
-0.2,-0.2,-0.1,0,0
0,0,0,0,0
0,0,0,-0.2,0
0,0,0,0,0
-0.783274,-0.303392,-0.318942,-0.1,-0.1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.2,-0.2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-2.88426,-2.72954,-2.61749,-2.4666,-2.47943
-3.03103,-2.92012,-3.16908,-3.07403,-2.89548
-0.2,-0.449128,-0.218,-0.356809,-0.2
-0.364485,0,0,0,0
-5.24337,-5.10018,-5.32744,-5.28109,-5.00553
-5.13188,-5.19336,-5.188,-5.14091,-5.15936
-1.1704,-1.27985,-1.24957,-1.1704,-1.1704
-0.398,-0.587927,-0.2,-0.2,-0.218
-6.57674,-6.60043,-6.62506,-6.51049,-6.48727
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-1.44829,-1.01267,-1.81898,-1.54841,-0.863798
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.304388,-0.863008,0,0,0
-10.8152,-10.5203,-10.7921,-10.8045,-10.8168
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.474767,-0.479192,-0.39404,-0.393238,-0.39404
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.321344,0,0,0,0
-1.61034,-2.1701,-1.99106,-1.79918,-1.69775
-6.45663,-6.8866,-6.43577,-6.41384,-6.51181
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.823189,-0.526085,-0.82363,-0.928433,-0.4901
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.772764,0,0,0,0
0,0,0,0,0
-0.267736,0,0,0,0
0,0,0,0,0
-0.2,-0.698415,-0.689885,0,0
0,0,0,0,0
-0.448648,-0.62312,0,0,-0.1
-5.61351,-5.7837,-5.72595,-5.61737,-5.68663
-6.92373,-6.96975,-6.84006,-6.93132,-6.92919
0,0,0,0,0
-5.51119,-5.35671,-5.54717,-5.5052,-5.50525
-3.87181,-4.0382,-3.74957,-3.88352,-3.98343
-7.11613,-6.77708,-7.08265,-7.09072,-7.10721
-4.82927,-4.73388,-4.89557,-4.78755,-4.83245
-3.84678,-4.02358,-3.90926,-3.99144,-3.80827
-1.36328,-1.27854,-1.09586,-1.02239,-1.11234
-7.06381,-6.99317,-7.02806,-7.04941,-7.04537
-0.906124,-0.523912,-0.587383,-0.93977,-0.509521
-7.35242,-7.31468,-7.2962,-7.33789,-7.30996
-6.44113,-6.56186,-6.44438,-6.40863,-6.54679
-8.15293,-7.31506,-8.09528,-8.14067,-8.0883
